Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S08000022,,65-74 years,,Females,,Cerebrovascular Disease,23,,127.402647759375,,128.97697606669618
2011,S08000022,,75plus years,,Males,,Cerebrovascular Disease,107,,948.32934503235,,1110.6515208089984
2011,S08000022,,75plus years,,Females,,Cerebrovascular Disease,199,,1187.56340633765,,1145.5083440824687
2011,S08000024,,0-44 years,,Males,,Cerebrovascular Disease,4,,1.6100726142749,,1.5994464379019988
2011,S08000024,,0-44 years,,Females,,Cerebrovascular Disease,3,,1.20288692862871,,1.3027461528108326
2011,S08000024,,45-64 years,,Males,,Cerebrovascular Disease,22,,20.9014212966482,,21.79624925911378
2011,S08000024,,45-64 years,,Females,,Cerebrovascular Disease,14,,12.8964507125289,,12.859610704155932
2011,S08000024,,65-74 years,,Males,,Cerebrovascular Disease,40,,129.794276072425,,132.7225588810173
2011,S08000024,,65-74 years,,Females,,Cerebrovascular Disease,32,,90.3776089473833,,91.08161694388762
2011,S08000024,,75plus years,,Males,,Cerebrovascular Disease,126,,555.604550665844,,654.6777293662846
2011,S08000024,,75plus years,,Females,,Cerebrovascular Disease,308,,854.179377669311,,825.8483999740367
2011,S08000025,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S08000025,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000025,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S08000025,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,65.92439370809439
2011,S08000025,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,79.00596135890255
2011,S08000025,,65-74 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000025,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,833.6512933021731
2011,S08000025,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1255.3850666373353
2011,S08000026,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S08000026,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000026,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S08000026,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,29.38275232438558
2011,S08000026,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,105.8201058201058
2011,S08000026,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,102.84891494394736
2011,S08000026,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,173.61111111111111
2011,S08000026,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,913.4726206661362
2011,S08000028,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S08000028,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000028,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,20.054481340976324
2011,S08000028,,45-64 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000028,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,67.3536741429245
2011,S08000028,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,119.62629074514476
2011,S08000028,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,257.4171912849268
2011,S08000028,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,470.0267141627107
2011,S08000029,,0-44 years,,Males,,Cerebrovascular Disease,1,,1.01398282313098,,0.965440006178816
2011,S08000029,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000029,,45-64 years,,Males,,Cerebrovascular Disease,11,,22.0401130056703,,21.565880277096294
2011,S08000029,,45-64 years,,Females,,Cerebrovascular Disease,7,,13.3856009178698,,13.28475287054048
2011,S08000029,,65-74 years,,Males,,Cerebrovascular Disease,25,,148.685619126918,,153.26747699070094
2011,S08000029,,65-74 years,,Females,,Cerebrovascular Disease,18,,96.514745308311,,99.42469504532356
2011,S08000029,,75plus years,,Males,,Cerebrovascular Disease,79,,679.219327658843,,809.9914719402271
2011,S08000029,,75plus years,,Females,,Cerebrovascular Disease,163,,931.322134613187,,895.7229744645236
2011,S08000030,,0-44 years,,Males,,Cerebrovascular Disease,1,,0.914068427162457,,1.1726943154480698
2011,S08000030,,0-44 years,,Females,,Cerebrovascular Disease,4,,3.64451409515826,,3.97463936670061
2011,S08000030,,45-64 years,,Males,,Cerebrovascular Disease,9,,16.2156318691218,,16.19918448045512
2011,S08000030,,45-64 years,,Females,,Cerebrovascular Disease,12,,20.738999688915,,20.85932438232116
2011,S08000030,,65-74 years,,Males,,Cerebrovascular Disease,24,,126.136542807589,,127.9139858702102
2011,S08000030,,65-74 years,,Females,,Cerebrovascular Disease,24,,111.513799832729,,111.62561695861947
2011,S08000030,,75plus years,,Males,,Cerebrovascular Disease,129,,876.775640589954,,992.39377415005
2011,S08000030,,75plus years,,Females,,Cerebrovascular Disease,190,,845.609506431083,,828.5215101073373
2011,S08000031,,0-44 years,,Males,,Cerebrovascular Disease,11,,3.36761153682483,,3.5293317259986905
2011,S08000031,,0-44 years,,Females,,Cerebrovascular Disease,3,,0.908388972157878,,0.9415795066321172
2011,S08000031,,45-64 years,,Males,,Cerebrovascular Disease,59,,40.6961104175145,,42.03636363092351
2011,S08000031,,45-64 years,,Females,,Cerebrovascular Disease,30,,19.3758396197169,,20.407398127094023
2011,S08000031,,65-74 years,,Males,,Cerebrovascular Disease,69,,160.40915959549,,162.7442100151276
2011,S08000031,,65-74 years,,Females,,Cerebrovascular Disease,59,,115.595611285266,,115.17118272097844
2011,S08000031,,75plus years,,Males,,Cerebrovascular Disease,305,,982.888079662273,,1147.510624923765
2011,S08000031,,75plus years,,Females,,Cerebrovascular Disease,512,,955.063515454495,,945.8761498210952
2011,S08000032,,0-44 years,,Males,,Cerebrovascular Disease,5,,2.74625685191085,,2.5947722012416357
2011,S08000032,,0-44 years,,Females,,Cerebrovascular Disease,3,,1.63168515003345,,1.659294106844473
2011,S08000032,,45-64 years,,Males,,Cerebrovascular Disease,30,,34.0912964920056,,35.26414707684948
2011,S08000032,,45-64 years,,Females,,Cerebrovascular Disease,22,,23.4819455859279,,23.877965686902527
2011,S08000032,,65-74 years,,Males,,Cerebrovascular Disease,42,,156.512017887088,,160.8309816093938
2011,S08000032,,65-74 years,,Females,,Cerebrovascular Disease,37,,117.1516322072,,118.56215944152848
2011,S08000032,,75plus years,,Males,,Cerebrovascular Disease,139,,803.886414897924,,939.7210877842248
2011,S08000032,,75plus years,,Females,,Cerebrovascular Disease,274,,968.266308573044,,1020.104751258064
2011,S92000003,d,0-44 years,,Males,,Cerebrovascular Disease,27,,1.83554970294687,,1.8989941868576097
2011,S92000003,d,0-44 years,,Females,,Cerebrovascular Disease,20,,1.35490890269993,,1.3948069652413126
2011,S92000003,d,45-64 years,,Males,,Cerebrovascular Disease,172,,24.1473663225667,,24.39476258062828
2011,S92000003,d,45-64 years,,Females,,Cerebrovascular Disease,133,,17.8720202101642,,18.0664781461643
2011,S92000003,d,65-74 years,,Males,,Cerebrovascular Disease,333,,146.645000198169,,150.0715334481875
2011,S92000003,d,65-74 years,,Females,,Cerebrovascular Disease,255,,98.9518861005584,,99.7459348397544
2011,S92000003,d,75plus years,,Males,,Cerebrovascular Disease,1235,,771.976321892248,,902.6421558459896
2011,S92000003,d,75plus years,,Females,,Cerebrovascular Disease,2425,,963.812324874307,,947.8820168025762
2012,S08000015,,0-44 years,,Males,,Cerebrovascular Disease,1,,1.06361480126357,,1.029051596647056
2012,S08000015,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000015,,45-64 years,,Males,,Cerebrovascular Disease,12,,23.1173784892793,,23.048501379879312
2012,S08000015,,45-64 years,,Females,,Cerebrovascular Disease,10,,17.8119767731823,,17.58185652721562
2012,S08000015,,65-74 years,,Males,,Cerebrovascular Disease,27,,136.798905608755,,145.8812505324133
2012,S08000015,,65-74 years,,Females,,Cerebrovascular Disease,23,,104.512200663425,,108.04224348240912
2012,S08000015,,75plus years,,Males,,Cerebrovascular Disease,100,,768.698593281574,,916.1520130848872
2012,S08000015,,75plus years,,Females,,Cerebrovascular Disease,196,,988.401412002017,,965.2721367621748
2012,S08000016,,0-44 years,,Males,,Cerebrovascular Disease,1,,3.73454830638234,,4.538852578068265
2012,S08000016,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000016,,45-64 years,,Males,,Cerebrovascular Disease,2,,11.6767865483419,,11.88382417873804
2012,S08000016,,45-64 years,,Females,,Cerebrovascular Disease,1,,5.67633535789294,,5.346283219353546
2012,S08000016,,65-74 years,,Males,,Cerebrovascular Disease,2,,29.99400119976,,34.03791824092039
2012,S08000016,,65-74 years,,Females,,Cerebrovascular Disease,4,,55.5941626129256,,58.28983895859184
2012,S08000016,,75plus years,,Males,,Cerebrovascular Disease,28,,607.375271149675,,694.9530258177302
2012,S08000016,,75plus years,,Females,,Cerebrovascular Disease,51,,788.985148514852,,760.1291484203346
2012,S08000017,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S08000017,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000017,,45-64 years,,Males,,Cerebrovascular Disease,6,,27.0453008789723,,26.877108391247955
2012,S08000017,,45-64 years,,Females,,Cerebrovascular Disease,5,,21.6132099939483,,21.08930349538284
2012,S08000017,,65-74 years,,Males,,Cerebrovascular Disease,10,,110.01100110011,,114.45910310386272
2012,S08000017,,65-74 years,,Females,,Cerebrovascular Disease,6,,61.3873542050338,,64.91778609704177
2012,S08000017,,75plus years,,Males,,Cerebrovascular Disease,55,,841.87968773917,,995.65866155687
2012,S08000017,,75plus years,,Females,,Cerebrovascular Disease,93,,1039.33839964238,,1015.4664592240736
2012,S08000019,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S08000019,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000019,,45-64 years,,Males,,Cerebrovascular Disease,3,,7.35600617904519,,7.421398794541701
2012,S08000019,,45-64 years,,Females,,Cerebrovascular Disease,11,,26.029958115431,,25.87042705074003
2012,S08000019,,65-74 years,,Males,,Cerebrovascular Disease,17,,124.269005847953,,129.13969421398835
2012,S08000019,,65-74 years,,Females,,Cerebrovascular Disease,17,,110.633866979045,,115.0683811868038
2012,S08000019,,75plus years,,Males,,Cerebrovascular Disease,61,,679.514314358917,,799.6178556233042
2012,S08000019,,75plus years,,Females,,Cerebrovascular Disease,129,,960.607640181696,,945.8988488425392
2012,S08000020,,0-44 years,,Males,,Cerebrovascular Disease,1,,0.608679773571124,,0.6338547241192588
2012,S08000020,,0-44 years,,Females,,Cerebrovascular Disease,2,,1.2526383695659,,1.1688735759426407
2012,S08000020,,45-64 years,,Males,,Cerebrovascular Disease,22,,28.3512461661383,,28.62205612034312
2012,S08000020,,45-64 years,,Females,,Cerebrovascular Disease,18,,23.1300034695005,,23.2677507537148
2012,S08000020,,65-74 years,,Males,,Cerebrovascular Disease,24,,97.454013887197,,101.66464603209272
2012,S08000020,,65-74 years,,Females,,Cerebrovascular Disease,36,,134.173157914353,,136.41505635116877
2012,S08000020,,75plus years,,Males,,Cerebrovascular Disease,146,,853.152574066499,,953.3931831089282
2012,S08000020,,75plus years,,Females,,Cerebrovascular Disease,232,,911.340692147543,,885.3156307770529
2012,S08000022,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S08000022,,0-44 years,,Females,,Cerebrovascular Disease,1,,1.2690999543124,,1.4147904368872868
2012,S08000022,,45-64 years,,Males,,Cerebrovascular Disease,6,,12.7315551594627,,12.847554088352023
2012,S08000022,,45-64 years,,Females,,Cerebrovascular Disease,9,,18.4094256259205,,18.204403306131994
2012,S08000022,,65-74 years,,Males,,Cerebrovascular Disease,13,,73.1323132313231,,71.22377617841497
2012,S08000022,,65-74 years,,Females,,Cerebrovascular Disease,16,,84.6919330933729,,88.4873112525615
2012,S08000022,,75plus years,,Males,,Cerebrovascular Disease,89,,770.762968736468,,886.3464414018043
2012,S08000022,,75plus years,,Females,,Cerebrovascular Disease,161,,946.613358419567,,913.5915185524058
2012,S08000024,,0-44 years,,Males,,Cerebrovascular Disease,2,,0.80380682914282,,0.7416818289727594
2012,S08000024,,0-44 years,,Females,,Cerebrovascular Disease,2,,0.797712161520758,,0.7938818489114915
2012,S08000024,,45-64 years,,Males,,Cerebrovascular Disease,22,,20.8153958236747,,21.70714033865783
2012,S08000024,,45-64 years,,Females,,Cerebrovascular Disease,15,,13.7440671443494,,13.721869812273493
2012,S08000024,,65-74 years,,Males,,Cerebrovascular Disease,30,,92.0527769254373,,99.0872742488603
2012,S08000024,,65-74 years,,Females,,Cerebrovascular Disease,35,,94.0506261084538,,96.28508662209596
2012,S08000024,,75plus years,,Males,,Cerebrovascular Disease,155,,666.609323929124,,746.0828992276521
2012,S08000024,,75plus years,,Females,,Cerebrovascular Disease,316,,869.996145586697,,834.3147908736479
2012,S08000025,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S08000025,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000025,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,30.583917564579117
2012,S08000025,,45-64 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000025,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,73.05572159128644
2012,S08000025,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,73.77598926894701
2012,S08000025,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1071.9812288655942
2012,S08000025,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,962.1773986380588
2012,S08000026,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S08000026,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000026,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S08000026,,45-64 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000026,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,176.5391365966449
2012,S08000026,,65-74 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000026,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1151.591183651401
2012,S08000026,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,301.8824109954863
2012,S08000028,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S08000028,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000028,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,66.40005997088913
2012,S08000028,,45-64 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S08000028,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,369.16137456228864
2012,S08000028,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,179.5290707870665
2012,S08000028,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,868.0547670214721
2012,S08000028,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,889.7205113169933
2012,S08000029,,0-44 years,,Males,,Cerebrovascular Disease,3,,3.06632460112227,,3.177728248434323
2012,S08000029,,0-44 years,,Females,,Cerebrovascular Disease,5,,5.03884952987534,,5.011985205975292
2012,S08000029,,45-64 years,,Males,,Cerebrovascular Disease,9,,18.0762819096588,,18.299875072897137
2012,S08000029,,45-64 years,,Females,,Cerebrovascular Disease,3,,5.74690624880273,,5.63448479927866
2012,S08000029,,65-74 years,,Males,,Cerebrovascular Disease,20,,111.600915127504,,116.83874098145608
2012,S08000029,,65-74 years,,Females,,Cerebrovascular Disease,14,,71.4358608021227,,75.31916497676923
2012,S08000029,,75plus years,,Males,,Cerebrovascular Disease,82,,689.017729602554,,754.1639877770011
2012,S08000029,,75plus years,,Females,,Cerebrovascular Disease,169,,953.025432808887,,929.6751262421828
2012,S08000030,,0-44 years,,Males,,Cerebrovascular Disease,3,,2.74328352749685,,3.4746307999827604
2012,S08000030,,0-44 years,,Females,,Cerebrovascular Disease,3,,2.7436598593417,,2.7271310581268504
2012,S08000030,,45-64 years,,Males,,Cerebrovascular Disease,14,,25.3991291727141,,26.14913551081329
2012,S08000030,,45-64 years,,Females,,Cerebrovascular Disease,15,,26.0620276257493,,25.736179170186535
2012,S08000030,,65-74 years,,Males,,Cerebrovascular Disease,21,,104.550433137509,,110.8771412207589
2012,S08000030,,65-74 years,,Females,,Cerebrovascular Disease,24,,106.676148991021,,110.25352336217564
2012,S08000030,,75plus years,,Males,,Cerebrovascular Disease,111,,738.326460023946,,841.3285323487867
2012,S08000030,,75plus years,,Females,,Cerebrovascular Disease,206,,905.653741317155,,863.6195059328302
2012,S08000031,,0-44 years,,Males,,Cerebrovascular Disease,8,,2.45707792008354,,2.7638066007250877
2012,S08000031,,0-44 years,,Females,,Cerebrovascular Disease,5,,1.52227391187861,,1.471406808366823
2012,S08000031,,45-64 years,,Males,,Cerebrovascular Disease,38,,26.1689966255768,,27.34960121881162
2012,S08000031,,45-64 years,,Females,,Cerebrovascular Disease,29,,18.623408982905,,19.107872815941487
2012,S08000031,,65-74 years,,Males,,Cerebrovascular Disease,58,,130.068173663437,,135.05896900143367
2012,S08000031,,65-74 years,,Females,,Cerebrovascular Disease,58,,111.111111111111,,112.52907176975457
2012,S08000031,,75plus years,,Males,,Cerebrovascular Disease,254,,803.746598316562,,922.1712041065364
2012,S08000031,,75plus years,,Females,,Cerebrovascular Disease,524,,971.233689205219,,954.7970081906118
2012,S08000032,,0-44 years,,Males,,Cerebrovascular Disease,4,,2.21909083848347,,2.46542466204966
2012,S08000032,,0-44 years,,Females,,Cerebrovascular Disease,4,,2.19681242517108,,2.234299572762754
2012,S08000032,,45-64 years,,Males,,Cerebrovascular Disease,28,,31.6971563122623,,32.769182343394775
2012,S08000032,,45-64 years,,Females,,Cerebrovascular Disease,19,,20.1640718689972,,20.579138231950225
2012,S08000032,,65-74 years,,Males,,Cerebrovascular Disease,43,,152.905198776758,,154.1008266533419
2012,S08000032,,65-74 years,,Females,,Cerebrovascular Disease,39,,119.731065606484,,122.72419015364082
2012,S08000032,,75plus years,,Males,,Cerebrovascular Disease,118,,661.1755477111,,753.9745339060911
2012,S08000032,,75plus years,,Females,,Cerebrovascular Disease,252,,875.638486396331,,905.3519936552312
2012,S92000003,d,0-44 years,,Males,,Cerebrovascular Disease,23,,1.57260763644593,,1.7323151051422612
2012,S92000003,d,0-44 years,,Females,,Cerebrovascular Disease,22,,1.49820079704282,,1.4721797930184088
2012,S92000003,d,45-64 years,,Males,,Cerebrovascular Disease,166,,23.321780154289,,23.787826444239123
2012,S92000003,d,45-64 years,,Females,,Cerebrovascular Disease,135,,18.1181058929475,,18.234683458918433
2012,S92000003,d,65-74 years,,Males,,Cerebrovascular Disease,274,,114.654425702677,,119.31711979179364
2012,S92000003,d,65-74 years,,Females,,Cerebrovascular Disease,276,,102.866471120984,,105.7192063335165
2012,S92000003,d,75plus years,,Males,,Cerebrovascular Disease,1223,,745.772633864054,,852.250130663248
2012,S92000003,d,75plus years,,Females,,Cerebrovascular Disease,2360,,927.446927242575,,908.209782454995
2013,S08000015,,0-44 years,,Males,,Cerebrovascular Disease,2,,2.15957067734934,,2.42847069993869
2013,S08000015,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2013,S08000015,,45-64 years,,Males,,Cerebrovascular Disease,10,,19.2975685063682,,19.31791429280236
2013,S08000015,,45-64 years,,Females,,Cerebrovascular Disease,10,,17.7626203417528,,17.74198675584789
2013,S08000015,,65-74 years,,Males,,Cerebrovascular Disease,23,,113.011006289308,,113.27176733368428
2013,S08000015,,65-74 years,,Females,,Cerebrovascular Disease,26,,114.704195526536,,117.83911558862026
2013,S08000015,,75plus years,,Males,,Cerebrovascular Disease,120,,891.662951404369,,1028.1864852497777
2013,S08000015,,75plus years,,Females,,Cerebrovascular Disease,172,,861.335069357504,,838.4097193644916
2013,S08000016,,0-44 years,,Males,,Cerebrovascular Disease,2,,7.5648687495272,,8.166201406608536
2013,S08000016,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2013,S08000016,,45-64 years,,Males,,Cerebrovascular Disease,3,,17.5070028011204,,17.339890181039426
2013,S08000016,,45-64 years,,Females,,Cerebrovascular Disease,3,,16.9971671388102,,16.47761572250842
2013,S08000016,,65-74 years,,Males,,Cerebrovascular Disease,4,,57.2737686139748,,61.79911627516507
2013,S08000016,,65-74 years,,Females,,Cerebrovascular Disease,8,,107.38255033557,,110.81227893051592
2013,S08000016,,75plus years,,Males,,Cerebrovascular Disease,41,,862.613086471702,,995.6815735687557
2013,S08000016,,75plus years,,Females,,Cerebrovascular Disease,37,,566.962917560527,,543.8438676933707
2013,S08000017,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2013,S08000017,,0-44 years,,Females,,Cerebrovascular Disease,1,,2.84357494241761,,2.5613441934327135
2013,S08000017,,45-64 years,,Males,,Cerebrovascular Disease,4,,18.1570585565138,,17.619271231151824
2013,S08000017,,45-64 years,,Females,,Cerebrovascular Disease,5,,21.6076058772688,,21.18324431192507
2013,S08000017,,65-74 years,,Males,,Cerebrovascular Disease,11,,117.521367521368,,124.42775506256189
2013,S08000017,,65-74 years,,Females,,Cerebrovascular Disease,10,,99.6214385335724,,101.2896249688592
2013,S08000017,,75plus years,,Males,,Cerebrovascular Disease,49,,732.108172717765,,818.1805221179887
2013,S08000017,,75plus years,,Females,,Cerebrovascular Disease,73,,815.187046342825,,777.7105023760132
2013,S08000019,,0-44 years,,Males,,Cerebrovascular Disease,1,,1.22978540244727,,1.1814585274300915
2013,S08000019,,0-44 years,,Females,,Cerebrovascular Disease,1,,1.22218012490681,,1.112127913775134
2013,S08000019,,45-64 years,,Males,,Cerebrovascular Disease,16,,38.9531345100426,,40.99489038587621
2013,S08000019,,45-64 years,,Females,,Cerebrovascular Disease,8,,18.7507324504863,,19.75945936145086
2013,S08000019,,65-74 years,,Males,,Cerebrovascular Disease,13,,91.6913528001128,,96.21397630293438
2013,S08000019,,65-74 years,,Females,,Cerebrovascular Disease,14,,88.5851683118198,,93.8951023526114
2013,S08000019,,75plus years,,Males,,Cerebrovascular Disease,84,,910.766561856229,,1025.755831528312
2013,S08000019,,75plus years,,Females,,Cerebrovascular Disease,128,,941.938332474796,,932.8325858312816
2013,S08000020,,0-44 years,,Males,,Cerebrovascular Disease,1,,0.602104958936442,,0.6830193927833412
2013,S08000020,,0-44 years,,Females,,Cerebrovascular Disease,2,,1.24521370980294,,1.268020564781638
2013,S08000020,,45-64 years,,Males,,Cerebrovascular Disease,12,,15.4205967770953,,15.751192459975783
2013,S08000020,,45-64 years,,Females,,Cerebrovascular Disease,10,,12.8037694297201,,13.177827499213112
2013,S08000020,,65-74 years,,Males,,Cerebrovascular Disease,32,,124.702856474806,,130.5678560377376
2013,S08000020,,65-74 years,,Females,,Cerebrovascular Disease,28,,101.302460202605,,105.43515006157344
2013,S08000020,,75plus years,,Males,,Cerebrovascular Disease,135,,766.08784473953,,879.3945720352007
2013,S08000020,,75plus years,,Females,,Cerebrovascular Disease,244,,950.970457557097,,906.483877156644
